ID,Cluster
458989,3
458994,0
458996,3
459000,0
459001,1
459003,3
459005,3
459008,3
459013,3
459014,1
459015,1
459016,1
459024,3
459026,0
459032,1
459033,3
459036,3
459039,3
459041,0
459045,3
459056,3
459057,3
459058,3
459059,3
459061,0
459064,3
459065,3
459074,1
459077,3
459079,3
459080,3
459083,0
459090,3
459091,3
459093,0
459100,0
459106,3
459114,3
459116,3
459117,3
459118,1
459119,3
459120,1
459121,3
459123,3
459130,3
459132,0
459136,3
459140,1
459143,3
459144,3
459145,3
459150,3
459160,3
459161,3
459162,3
459163,3
459167,3
459170,3
459171,3
459172,1
459175,3
459181,3
459182,3
459184,3
459185,0
459193,3
459194,3
459196,1
459208,3
459209,1
459210,3
459212,3
459213,1
459216,3
459220,3
459221,3
459222,3
459223,3
459224,3
459227,0
459229,3
459236,3
459237,1
459244,3
459247,3
459258,3
459263,0
459264,3
459266,1
459270,3
459284,3
459287,3
459288,3
459289,3
459290,3
459292,3
459293,1
459296,3
459300,3
459307,3
459310,3
459316,3
459318,3
459320,3
459322,3
459323,1
459338,3
459339,0
459344,3
459347,3
459349,3
459352,3
459353,3
459354,3
459355,3
459360,1
459361,3
459362,3
459363,3
459364,3
459369,1
459375,1
459377,3
459383,3
459384,3
459385,3
459386,3
459391,3
459394,0
459397,3
459398,3
459401,1
459403,3
459405,3
459407,3
459409,3
459410,3
459412,3
459413,3
459415,1
459418,3
459419,3
459420,3
459421,3
459422,3
459423,1
459424,3
459428,3
459432,3
459436,3
459439,3
459445,3
459447,0
459449,3
459451,3
459456,3
459458,1
459459,3
459461,3
459464,3
459466,3
459467,3
459469,1
459471,1
459480,0
459481,3
459482,3
459485,3
459496,3
459497,3
459499,3
459503,3
459505,3
459507,3
459509,3
459512,3
459515,3
459516,3
459518,3
459535,0
459536,0
459538,0
459541,3
459549,1
459555,0
459558,1
459564,3
459566,0
459567,3
459571,3
459576,3
459579,3
459581,1
459582,3
459583,3
459585,3
459587,0
459588,3
459591,3
459592,1
459594,3
459597,3
459603,3
459607,3
459608,3
459612,1
459616,1
459617,1
459618,3
459621,0
459625,0
459626,1
459632,3
459644,0
459652,1
459658,3
459664,3
459665,3
459672,3
459673,3
459678,1
459680,3
459686,3
459691,3
459692,3
459693,3
459699,0
459701,3
459710,3
459711,0
459712,1
459713,1
459715,1
459718,3
459725,3
459727,3
459740,1
459742,3
459745,3
459746,3
459747,3
459748,3
459755,3
459756,3
459760,0
459763,1
459767,1
459771,3
459779,3
459780,3
459785,3
459793,3
459795,3
459801,0
459804,3
459806,3
459808,3
459815,0
459816,3
459819,3
459821,3
459822,3
459825,1
459827,1
459832,3
459845,3
459851,3
459853,1
459856,3
459857,0
459861,3
459864,3
459866,3
459867,3
459869,1
459871,3
459885,1
459886,1
459887,3
459889,0
459897,3
459909,3
459910,3
459911,1
459914,3
459923,3
459925,3
459937,0
459943,3
459945,3
459946,3
459949,3
459953,0
459961,0
459962,0
459966,1
459968,0
459970,3
459973,3
459974,3
459975,0
459981,0
459986,3
459995,3
459996,3
459998,3
460004,0
460006,1
460014,3
460023,3
460027,0
460033,3
460036,3
460040,3
460045,3
460046,3
460050,3
460051,0
460052,3
460058,3
460059,1
460061,3
460066,3
460068,0
460073,3
460075,3
460079,3
460081,0
460088,3
460090,3
460093,3
460095,3
460097,3
460099,3
460101,0
460103,3
460105,3
460106,3
460107,3
460108,3
460109,0
460110,3
460112,0
460116,3
460118,3
460119,1
460122,3
460124,3
460126,0
460134,0
460135,1
460140,0
460141,0
460144,3
460146,3
460147,3
460157,3
460160,0
460162,1
460166,1
460167,1
460168,3
460171,3
460174,0
460175,1
460177,3
460179,1
460183,0
460185,0
460187,3
460189,0
460190,0
460192,3
460196,0
460206,3
460211,0
460212,0
460214,3
460222,3
460223,3
460227,1
460242,0
460243,0
460247,0
460248,0
460252,3
460263,3
460265,3
460270,0
460272,3
460275,0
460276,3
460281,0
460283,0
460284,0
460287,3
460289,3
460298,3
460303,3
460305,3
460306,0
460310,0
460315,0
460319,3
460322,0
460323,0
460324,0
460327,0
460333,0
460336,3
460340,0
460341,0
460344,0
460346,0
460348,3
460349,3
460354,3
460356,1
460358,1
460361,3
460362,3
460365,3
460369,3
460370,0
460371,3
460378,3
460379,0
460380,0
460381,0
460384,0
460387,3
460388,0
460389,0
460390,0
460392,0
460394,0
460397,3
460399,0
460401,1
460404,1
460405,0
460406,3
460408,3
460409,0
460415,3
