,fecha,ciudad,dispositivo,categoria_producto,metodo_pago,edad_cliente,productos_carrito,tiempo_sesion_min,rating_producto,precio_promedio,monto_total,compra_completada
0,2024-01-01 00:00:00,Santiago,Mobile,Electrónica,Transferencia,35.0,2,2.3,3.0,28845.0,49616.0,1
1,2024-01-01 01:00:00,La Serena,Mobile,Deportes,Tarjeta,34.0,2,2.8,4.0,17093.0,39289.0,1
2,2024-01-01 02:00:00,Concepción,Desktop,Ropa,Transferencia,35.0,4,19.0,,13448.0,54205.0,0
3,2024-01-01 03:00:00,Valparaíso,Tablet,Ropa,Tarjeta,77.0,7,2.1,1.0,7583.0,59533.0,1
4,2024-01-01 04:00:00,Santiago,Mobile,Electrónica,Tarjeta,27.0,1,2.6,5.0,1886.0,1829.0,1
5,2024-01-01 05:00:00,Santiago,Mobile,Electrónica,Transferencia,49.0,5,8.0,4.0,5703.0,31880.0,1
6,2024-01-01 06:00:00,Santiago,Mobile,Deportes,Tarjeta,66.0,3,7.3,,17936.0,45943.0,0
7,2024-01-01 07:00:00,Concepción,Mobile,Libros,Transferencia,65.0,2,15.8,,27598.0,59192.0,0
8,2024-01-01 08:00:00,Valparaíso,Mobile,Ropa,Tarjeta,93.0,4,10.7,3.0,6427.0,28290.0,1
9,2024-01-01 09:00:00,Concepción,Mobile,Ropa,,44.0,2,12.5,,15857.0,33576.0,0
10,2024-01-01 10:00:00,Santiago,Tablet,Libros,Tarjeta,51.0,4,0.0,1.0,11183.0,44519.0,0
11,2024-01-01 11:00:00,La Serena,Mobile,Deportes,Transferencia,40.0,3,16.2,5.0,27726.0,76955.0,1
12,2024-01-01 12:00:00,Concepción,Desktop,Hogar,Efectivo,35.0,2,37.4,2.0,19857.0,37789.0,0
13,2024-01-01 13:00:00,Santiago,Mobile,Hogar,Tarjeta,36.0,3,14.2,,27729.0,81864.0,0
14,2024-01-01 14:00:00,Santiago,Mobile,Ropa,,65.0,4,1.9,5.0,33410.0,148511.0,0
15,2024-01-01 15:00:00,Santiago,Desktop,Hogar,Tarjeta,43.0,2,4.8,5.0,5905.0,10746.0,1
16,2024-01-01 16:00:00,Santiago,Desktop,Deportes,,56.0,2,2.2,,2595.0,5547.0,0
17,2024-01-01 17:00:00,Valparaíso,Mobile,Hogar,Tarjeta,35.0,4,7.1,,10768.0,38957.0,0
18,2024-01-01 18:00:00,Santiago,Desktop,Electrónica,Tarjeta,39.0,2,0.1,3.0,26356.0,49865.0,0
19,2024-01-01 19:00:00,Santiago,Desktop,Deportes,,48.0,6,25.2,,16480.0,97561.0,0
20,2024-01-01 20:00:00,Valparaíso,Mobile,Libros,Tarjeta,80.0,4,27.5,5.0,10578.0,44327.0,1
21,2024-01-01 21:00:00,Santiago,Mobile,Ropa,,,8,2.0,,16535.0,118554.0,0
22,2024-01-01 22:00:00,Santiago,Desktop,Deportes,,50.0,3,0.7,,8256.0,25323.0,0
23,2024-01-01 23:00:00,Santiago,Mobile,Hogar,Tarjeta,72.0,3,7.9,5.0,58021.0,167321.0,1
24,2024-01-02 00:00:00,Valparaíso,Mobile,Deportes,Tarjeta,35.0,8,10.5,5.0,41969.0,290354.0,1
25,2024-01-02 01:00:00,Concepción,Mobile,Libros,Transferencia,38.0,3,18.8,4.0,35155.0,99535.0,1
26,2024-01-02 02:00:00,Santiago,Mobile,Deportes,Transferencia,37.0,2,4.5,2.0,6883.0,13241.0,0
27,2024-01-02 03:00:00,Valparaíso,Tablet,Libros,,,1,18.3,,55039.0,59260.0,0
28,2024-01-02 04:00:00,Valparaíso,Mobile,Libros,Transferencia,60.0,4,10.9,4.0,13528.0,47114.0,1
29,2024-01-02 05:00:00,Santiago,Mobile,Deportes,Tarjeta,57.0,4,0.3,,9302.0,38692.0,0
30,2024-01-02 06:00:00,Valparaíso,Mobile,Ropa,Tarjeta,72.0,6,9.5,4.0,7311.0,41807.0,1
31,2024-01-02 07:00:00,Santiago,Desktop,Ropa,Tarjeta,,1,12.4,,5677.0,5275.0,0
32,2024-01-02 08:00:00,Santiago,Desktop,Hogar,Tarjeta,29.0,7,16.1,4.0,3093.0,23587.0,1
33,2024-01-02 09:00:00,La Serena,Tablet,Deportes,Tarjeta,44.0,8,1.0,3.0,33459.0,260631.0,0
34,2024-01-02 10:00:00,La Serena,Desktop,Deportes,Efectivo,69.0,1,17.0,5.0,14433.0,14315.0,1
35,2024-01-02 11:00:00,Concepción,Desktop,Electrónica,Transferencia,29.0,1,1.9,3.0,18371.0,19033.0,0
36,2024-01-02 12:00:00,Santiago,Mobile,Ropa,Tarjeta,28.0,11,1.6,,5680.0,55171.0,0
37,2024-01-02 13:00:00,Santiago,Mobile,Libros,Transferencia,55.0,5,10.0,4.0,18930.0,91708.0,1
38,2024-01-02 14:00:00,Valparaíso,Desktop,Electrónica,Transferencia,45.0,3,1.2,4.0,19149.0,53682.0,1
39,2024-01-02 15:00:00,Santiago,Desktop,Deportes,,44.0,7,2.2,,5435.0,38979.0,0
40,2024-01-02 16:00:00,Santiago,Tablet,Electrónica,Tarjeta,30.0,5,0.3,,14061.0,71161.0,0
41,2024-01-02 17:00:00,Valparaíso,Desktop,Ropa,Transferencia,62.0,9,2.2,,8299.0,74790.0,0
42,2024-01-02 18:00:00,Santiago,Mobile,Deportes,Tarjeta,30.0,3,18.0,,17723.0,46005.0,0
43,2024-01-02 19:00:00,La Serena,Mobile,Ropa,,41.0,4,4.8,1.0,1497.0,5164.0,0
44,2024-01-02 20:00:00,Santiago,Mobile,Electrónica,Tarjeta,58.0,3,7.7,5.0,11947.0,32023.0,0
45,2024-01-02 21:00:00,Valparaíso,Mobile,Hogar,,,11,10.6,,6629.0,72785.0,0
46,2024-01-02 22:00:00,Santiago,Mobile,Libros,,80.0,2,31.2,,6600.0,11233.0,0
47,2024-01-02 23:00:00,Valparaíso,Mobile,Libros,Tarjeta,50.0,4,4.4,5.0,34653.0,144290.0,1
48,2024-01-03 00:00:00,Valparaíso,Mobile,Hogar,,48.0,2,9.2,,29657.0,58029.0,0
49,2024-01-03 01:00:00,Santiago,Desktop,Hogar,,45.0,1,2.1,4.0,41290.0,36758.0,0
50,2024-01-03 02:00:00,La Serena,Mobile,Hogar,Transferencia,64.0,4,22.8,,34128.0,132485.0,0
51,2024-01-03 03:00:00,Concepción,Desktop,Ropa,Tarjeta,46.0,14,13.3,5.0,19626.0,272691.0,1
52,2024-01-03 04:00:00,La Serena,Mobile,Deportes,,,2,3.6,2.0,11858.0,22955.0,0
53,2024-01-03 05:00:00,Concepción,Mobile,Hogar,Tarjeta,48.0,2,3.2,,8114.0,18207.0,0
54,2024-01-03 06:00:00,Valparaíso,Tablet,Ropa,Tarjeta,36.0,2,0.7,3.0,17703.0,31905.0,1
55,2024-01-03 07:00:00,La Serena,Mobile,Electrónica,,49.0,6,6.6,4.0,26147.0,176501.0,0
56,2024-01-03 08:00:00,Santiago,Tablet,Electrónica,Transferencia,59.0,2,2.5,3.0,17333.0,37995.0,1
57,2024-01-03 09:00:00,Santiago,Mobile,Hogar,Tarjeta,72.0,5,11.3,3.0,2463.0,13013.0,0
58,2024-01-03 10:00:00,Santiago,Mobile,Electrónica,Tarjeta,62.0,6,4.4,4.0,40282.0,261287.0,0
59,2024-01-03 11:00:00,Santiago,Mobile,Hogar,Tarjeta,,1,32.1,,10210.0,10300.0,0
60,2024-01-03 12:00:00,Santiago,Mobile,Electrónica,Tarjeta,32.0,10,8.8,5.0,10320.0,101182.0,1
61,2024-01-03 13:00:00,Santiago,Mobile,Electrónica,Tarjeta,36.0,1,4.5,4.0,19069.0,16653.0,1
62,2024-01-03 14:00:00,Concepción,Desktop,Deportes,Tarjeta,27.0,4,9.0,4.0,18727.0,85061.0,1
63,2024-01-03 15:00:00,Santiago,Mobile,Deportes,Tarjeta,39.0,6,,,13030.0,69326.0,0
64,2024-01-03 16:00:00,Santiago,Desktop,Electrónica,,58.0,1,12.0,4.0,17282.0,17307.0,0
65,2024-01-03 17:00:00,Valparaíso,Mobile,Deportes,Tarjeta,51.0,3,20.1,2.0,16989.0,54389.0,1
66,2024-01-03 18:00:00,Santiago,Mobile,Hogar,Transferencia,31.0,2,10.4,,21080.0,40164.0,0
67,2024-01-03 19:00:00,Concepción,Tablet,Libros,Transferencia,,4,6.2,,19216.0,81182.0,0
