Unnamed: 0,EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas
601725,110100,"Hospital San Juan de Dios (Santiago, Santiago)",13,Región Metropolitana de Santiago,13101,Santiago,10,Servicio de Salud Metropolitano Occidente,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria (UEH),-33.442394,-70.679188,Alta Complejidad,2024,34,34,"HOSPITALIZACIONES COVID-19, VIRUS IDENTIFICADO U07.1",0.0,0.0,0.0,0.0,0.0,0.0
1744822,110100,"Hospital San Juan de Dios (Santiago, Santiago)",13,Región Metropolitana de Santiago,13101,Santiago,10,Servicio de Salud Metropolitano Occidente,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria (UEH),-33.442394,-70.679188,Alta Complejidad,2025,37,34,"HOSPITALIZACIONES COVID-19, VIRUS IDENTIFICADO U07.1",0.0,0.0,0.0,0.0,0.0,0.0
401783,110100,"Hospital San Juan de Dios (Santiago, Santiago)",13,Región Metropolitana de Santiago,13101,Santiago,10,Servicio de Salud Metropolitano Occidente,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria (UEH),-33.442394,-70.679188,Alta Complejidad,2020,36,5,Influenza (J09-J11),0.0,0.0,0.0,0.0,0.0,0.0
827510,111800,SAPU Consultorio Nº1,13,Región Metropolitana de Santiago,13101,Santiago,11,Servicio de Salud Metropolitano Central,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,Primario,Urgencia Ambulatoria (SAPU),-33.455638,-70.652567,Baja Complejidad,2017,18,6,Neumonía (J12-J18),10.0,0.0,0.0,0.0,2.0,8.0
2768546,110110,Instituto Traumatológico Dr. Teodoro Gebauer,13,Región Metropolitana de Santiago,13101,Santiago,10,Servicio de Salud Metropolitano Occidente,Hospital,Servicio de Salud,Terciario,Urgencia Especializada,-33.434891,-70.658236,Alta Complejidad,2024,2,10,"Covid-19, Virus no identificado U07.2",0.0,0.0,0.0,0.0,0.0,0.0
639125,111800,SAPU Consultorio Nº1,13,Región Metropolitana de Santiago,13101,Santiago,11,Servicio de Salud Metropolitano Central,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,Primario,Urgencia Ambulatoria (SAPU),-33.455638,-70.652567,Baja Complejidad,2025,8,34,"HOSPITALIZACIONES COVID-19, VIRUS IDENTIFICADO U07.1",0.0,0.0,0.0,0.0,0.0,0.0
3290270,110100,"Hospital San Juan de Dios (Santiago, Santiago)",13,Región Metropolitana de Santiago,13101,Santiago,10,Servicio de Salud Metropolitano Occidente,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria (UEH),-33.442394,-70.679188,Alta Complejidad,2018,24,8,Crisis obstructiva bronquial (J40-J46),20.0,0.0,0.0,0.0,8.0,12.0
277061,110100,"Hospital San Juan de Dios (Santiago, Santiago)",13,Región Metropolitana de Santiago,13101,Santiago,10,Servicio de Salud Metropolitano Occidente,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria (UEH),-33.442394,-70.679188,Alta Complejidad,2025,18,8,Crisis obstructiva bronquial (J40-J46),10.0,0.0,0.0,0.0,7.0,3.0
1021379,111800,SAPU Consultorio Nº1,13,Región Metropolitana de Santiago,13101,Santiago,11,Servicio de Salud Metropolitano Central,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,Primario,Urgencia Ambulatoria (SAPU),-33.455638,-70.652567,Baja Complejidad,2015,34,32,HOSPITALIZACIONES POR CAUSAS SISTEMA RESPIRATORIO,0.0,0.0,0.0,0.0,0.0,0.0
3114007,111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,13,Región Metropolitana de Santiago,13101,Santiago,11,Servicio de Salud Metropolitano Central,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria (UEH),-33.444004,-70.637955,Alta Complejidad,2019,9,3,TOTAL CAUSAS SISTEMA RESPIRATORIO,58.0,0.0,0.0,0.0,45.0,13.0
