iter	Passed	Remaining
0	1	303
1	1	257
2	2	241
3	3	230
4	3	227
5	4	229
6	5	222
7	6	222
8	6	223
9	7	226
10	8	226
11	9	224
12	10	226
13	11	228
14	12	230
15	13	233
16	14	234
17	14	232
18	15	234
19	16	236
20	17	238
21	18	237
22	19	237
23	20	234
24	21	232
25	22	239
26	22	230
27	24	239
28	25	238
29	26	235
30	26	233
31	27	232
32	28	230
33	29	229
34	30	230
35	31	229
36	32	228
37	32	227
38	33	226
39	35	228
40	35	226
41	36	224
42	37	223
43	38	221
44	38	220
45	39	218
46	40	217
47	41	216
48	42	215
49	43	215
50	44	216
51	45	215
52	46	214
53	46	213
54	47	212
55	48	211
56	49	213
57	50	212
58	52	212
59	52	211
60	53	210
61	54	208
62	55	207
63	56	207
64	57	206
65	58	205
66	58	204
67	59	203
68	60	202
69	61	202
70	62	201
71	63	200
72	64	199
73	65	198
74	65	197
75	66	196
76	67	194
77	68	193
78	68	192
79	69	191
80	70	191
81	71	190
82	72	190
83	73	189
84	74	188
85	75	188
86	76	188
87	77	187
88	78	186
89	79	185
90	80	184
91	81	183
92	82	183
93	83	182
94	84	181
95	84	180
96	85	179
97	86	178
98	87	177
99	88	176
100	89	175
101	90	174
102	90	173
103	91	172
104	92	171
105	93	170
106	94	169
107	94	168
108	95	168
109	96	167
110	97	166
111	98	165
112	99	164
113	100	163
114	100	162
115	101	161
116	102	160
117	103	159
118	103	158
119	104	157
120	105	155
121	106	154
122	107	153
123	107	153
124	109	152
125	109	151
126	110	150
127	111	149
128	112	148
129	113	147
130	113	147
131	114	146
132	115	145
133	116	144
134	117	143
135	118	143
136	119	142
137	120	141
138	121	140
139	122	139
140	123	138
141	123	137
142	124	137
143	125	136
144	126	135
145	127	134
146	128	133
147	129	133
148	130	132
149	131	131
150	132	130
151	133	129
152	134	128
153	135	128
154	136	127
155	137	126
156	138	125
157	138	124
158	139	123
159	140	122
160	141	121
161	141	120
162	142	119
163	143	119
164	144	118
165	145	117
166	145	116
167	147	115
168	148	114
169	148	113
170	149	112
171	150	111
172	151	111
173	152	110
174	152	109
175	153	108
176	154	107
177	155	106
178	156	105
179	157	104
180	157	103
181	158	102
182	159	102
183	160	101
184	161	100
185	161	99
186	162	98
187	163	97
188	164	96
189	165	95
190	165	94
191	166	93
192	167	92
193	168	91
194	169	91
195	170	90
196	170	89
197	171	88
198	172	87
199	173	86
200	174	85
201	1202	17202	1203	17203	176	83
204	177	82
205	178	81
206	179	80
207	180	79
208	181	79
209	182	78
210	183	77
211	184	76
212	185	75
213	186	74
214	186	73
215	187	73
216	188	72
217	189	71
218	190	70
219	190	69
220	191	68
221	192	67
222	193	66
223	194	65
224	195	65
225	196	64
226	197	63
227	197	62
228	198	61
229	199	60
230	200	59
231	201	58
232	202	58
233	202	57
234	2235	20235	204	55
236	205	54
237	206	53
238	207	52
239	208	52
240	209	51
241	210	50
242	211	49
243	211	48
244	212	47
245	213	46
246	214	45
247	215	45
248	215	44
249	216	43
250	217	42
251	218	41
252	219	40
253	220	39
254	221	39
255	222	38
256	223	37
257	224	36
258	225	35
259	226	34
260	227	34
261	228	33
262	229	32
263	230	31
264	231	30
265	232	29
266	232	28
267	233	27
268	234	27
269	235	26
270	235	25
271	236	24
272	238	23
273	238	22
274	239	21
275	240	20
276	241	20
277	242	19
278	243	18
279	244	17
280	244	16
281	245	15
282	246	14
283	247	13
284	248	13
285	249	12
286	250	11
287	251	10
288	251	9
289	252	8
290	253	7
291	254	6
292	255	6
293	256	5
294	256	4
295	257	3
296	258	2
297	259	1
298	260	0
299	261	0

